#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Host Connected,End of File
1,04/14/2023 13:52:00,65.57,55.07,49.03,,
2,04/14/2023 13:57:00,65.03,54.81,48.41,,
3,04/14/2023 14:02:00,64.85,55.37,48.52,,
4,04/14/2023 14:07:00,65.08,55.69,48.89,,
5,04/14/2023 14:12:00,65.51,54.79,48.84,,
6,04/14/2023 14:17:00,65.35,53.95,48.29,,
7,04/14/2023 14:22:00,66.76,54.92,50.08,,
8,04/14/2023 14:27:00,70.05,52.17,51.73,,
9,04/14/2023 14:32:00,71.78,48.90,51.58,,
10,04/14/2023 14:37:00,72.75,46.70,51.21,,
11,04/14/2023 14:42:00,71.09,48.25,50.58,,
12,04/14/2023 14:47:00,72.34,44.92,49.80,,
13,04/14/2023 14:52:00,70.97,49.76,51.30,,
14,04/14/2023 14:57:00,71.26,48.11,50.66,,
15,04/14/2023 15:02:00,71.42,47.36,50.38,,
16,04/14/2023 15:07:00,71.88,45.73,49.86,,
17,04/14/2023 15:12:00,71.32,48.11,50.71,,
18,04/14/2023 15:17:00,70.35,48.19,49.87,,
19,04/14/2023 15:22:00,70.30,49.62,50.61,,
20,04/14/2023 15:27:00,71.24,48.32,50.76,,
21,04/14/2023 15:32:00,70.99,46.55,49.52,,
22,04/14/2023 15:37:00,70.30,46.67,48.96,,
23,04/14/2023 15:42:00,70.16,46.92,48.98,,
24,04/14/2023 15:47:00,69.56,47.88,48.98,,
25,04/14/2023 15:52:00,69.64,48.38,49.32,,
26,04/14/2023 15:57:00,67.73,49.90,48.40,,
27,04/14/2023 16:02:00,68.83,50.01,49.47,,
28,04/14/2023 16:07:00,69.04,46.10,47.49,,
29,04/14/2023 16:12:00,67.88,51.05,49.15,,
30,04/14/2023 16:17:00,68.23,50.97,49.43,,
31,04/14/2023 16:22:00,66.80,48.56,46.83,,
32,04/14/2023 16:27:00,66.17,50.31,47.18,,
33,04/14/2023 16:32:00,66.22,50.99,47.59,,
34,04/14/2023 16:37:00,65.89,50.91,47.24,,
35,04/14/2023 16:42:00,66.05,51.46,47.68,,
36,04/14/2023 16:47:00,66.32,51.52,47.95,,
37,04/14/2023 16:52:00,67.25,49.12,47.54,,
38,04/14/2023 16:57:00,68.15,47.48,47.47,,
