#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Host Connected,End of File
1,04/14/2023 10:23:38,67.46,53.73,50.13,,
2,04/14/2023 10:28:38,66.32,56.20,50.28,,
3,04/14/2023 10:33:38,64.97,57.30,49.54,,
4,04/14/2023 10:38:38,63.50,59.29,49.08,,
5,04/14/2023 10:43:38,62.69,61.53,49.31,,
6,04/14/2023 10:48:38,62.61,62.93,49.84,,
7,04/14/2023 10:53:38,62.75,62.16,49.64,,
8,04/14/2023 10:58:38,63.87,61.32,50.33,,
9,04/14/2023 11:03:38,63.42,60.58,49.59,,
10,04/14/2023 11:08:38,63.58,62.60,50.61,,
11,04/14/2023 11:13:38,63.48,62.03,50.28,,
12,04/14/2023 11:18:38,63.21,61.91,49.97,,
13,04/14/2023 11:23:38,63.39,63.06,50.63,,
14,04/14/2023 11:28:38,63.93,62.06,50.71,,
15,04/14/2023 11:33:38,63.79,63.30,51.12,,
16,04/14/2023 11:38:38,65.10,60.49,51.13,,
17,04/14/2023 11:43:38,65.78,57.92,50.59,,
18,04/14/2023 11:48:38,68.77,57.62,53.25,,
19,04/14/2023 11:53:38,70.45,52.73,52.40,,
20,04/14/2023 11:58:38,72.42,51.21,53.42,,
21,04/14/2023 12:03:38,70.88,51.71,52.26,,
22,04/14/2023 12:08:38,70.24,50.19,50.86,,
23,04/14/2023 12:13:38,69.87,51.90,51.43,,
24,04/14/2023 12:18:38,68.54,56.05,52.28,,
25,04/14/2023 12:23:38,68.33,55.13,51.63,,
26,04/14/2023 12:28:38,68.10,55.76,51.73,,
27,04/14/2023 12:33:38,66.84,58.95,52.06,,
28,04/14/2023 12:38:38,65.91,55.86,49.74,,
29,04/14/2023 12:43:38,65.61,57.70,50.32,,
30,04/14/2023 12:48:38,65.61,57.89,50.42,,
31,04/14/2023 12:53:38,65.74,58.59,50.87,,
32,04/14/2023 12:58:38,65.70,59.79,51.38,,
33,04/14/2023 13:03:38,65.47,61.28,51.83,,
34,04/14/2023 13:08:38,65.45,61.02,51.69,,
35,04/14/2023 13:13:38,64.52,60.97,50.80,,
36,04/14/2023 13:18:38,64.35,60.65,50.49,,
37,04/14/2023 13:23:38,64.37,60.58,50.48,,
38,04/14/2023 13:28:38,64.23,63.82,51.76,,
39,04/14/2023 13:33:38,63.89,61.69,50.51,,
40,04/14/2023 13:38:38,64.12,63.33,51.44,,
41,04/14/2023 13:43:38,63.58,64.69,51.50,,
42,04/14/2023 13:48:38,63.29,61.73,49.97,,
43,04/14/2023 13:53:38,62.65,63.09,49.95,,
44,04/14/2023 13:58:38,62.54,62.02,49.38,,
45,04/14/2023 14:03:38,63.19,63.19,50.50,,
46,04/14/2023 14:08:38,64.08,61.98,50.82,,
47,04/14/2023 14:13:38,64.81,59.56,50.44,,
48,04/14/2023 14:18:38,64.76,60.25,50.69,,
49,04/14/2023 14:23:38,67.11,61.09,53.29,,
50,04/14/2023 14:28:38,69.87,54.31,52.66,,
51,04/14/2023 14:33:38,71.55,53.50,53.81,,
52,04/14/2023 14:38:38,70.88,50.43,51.58,,
53,04/14/2023 14:43:38,70.37,52.61,52.27,,
54,04/14/2023 14:48:38,69.41,54.47,52.31,,
55,04/14/2023 14:53:38,68.40,52.20,50.23,,
56,04/14/2023 14:58:38,70.89,49.40,51.04,,
57,04/14/2023 15:03:38,71.05,49.86,51.43,,
58,04/14/2023 15:08:38,71.80,46.62,50.31,,
59,04/14/2023 15:13:38,72.56,47.00,51.21,,
60,04/14/2023 15:18:38,72.38,47.07,51.09,,
61,04/14/2023 15:23:38,72.27,46.04,50.39,,
62,04/14/2023 15:28:38,71.96,48.52,51.53,,
63,04/14/2023 15:33:38,71.47,46.48,49.92,,
64,04/14/2023 15:38:38,71.57,47.34,50.51,,
65,04/14/2023 15:43:38,70.51,49.36,50.66,,
66,04/14/2023 15:48:38,71.20,49.37,51.31,,
67,04/14/2023 15:53:38,69.95,52.60,51.87,,
68,04/14/2023 15:58:38,68.71,55.59,52.22,,
69,04/14/2023 16:03:38,69.85,52.59,51.77,,
70,04/14/2023 16:08:38,70.80,52.65,52.68,,
71,04/14/2023 16:13:38,70.78,47.15,49.67,,
72,04/14/2023 16:18:38,69.06,48.12,48.65,,
73,04/14/2023 16:23:38,68.37,49.66,48.86,,
74,04/14/2023 16:28:38,67.69,51.63,49.28,,
75,04/14/2023 16:33:38,67.23,53.71,49.91,,
76,04/14/2023 16:38:38,66.74,53.08,49.14,,
77,04/14/2023 16:43:38,66.98,54.67,50.15,,
78,04/14/2023 16:48:38,66.96,49.71,47.59,,
79,04/14/2023 16:53:38,67.56,51.33,48.99,,
80,04/14/2023 16:58:38,68.06,49.58,48.53,,
81,04/14/2023 17:03:38,69.31,49.22,49.49,,
82,04/14/2023 17:08:38,67.36,50.50,48.38,,
83,04/14/2023 17:13:38,68.23,49.24,48.50,,
84,04/14/2023 17:18:38,68.98,48.59,48.84,,
85,04/14/2023 17:23:38,67.50,48.18,47.25,,
86,04/14/2023 17:28:38,66.53,52.32,48.56,,
87,04/14/2023 17:33:38,65.43,55.47,49.10,,
88,04/14/2023 17:38:38,65.76,54.21,48.79,,
89,04/14/2023 17:43:38,66.47,56.73,50.68,,
90,04/14/2023 17:48:38,65.91,55.23,49.44,,
91,04/14/2023 17:53:38,65.35,55.93,49.25,,
92,04/14/2023 17:58:38,65.16,56.58,49.38,,
93,04/14/2023 18:03:38,64.43,58.21,49.46,,
94,04/14/2023 18:08:38,64.04,58.03,49.01,,
95,04/14/2023 18:13:38,64.16,58.84,49.49,,
96,04/14/2023 18:18:38,63.62,59.69,49.37,,
97,04/14/2023 18:23:38,62.86,60.63,49.08,,
98,04/14/2023 18:28:38,62.46,62.29,49.42,,
99,04/14/2023 18:33:38,62.11,62.72,49.28,,
100,04/14/2023 18:38:38,61.86,64.50,49.79,,
101,04/14/2023 18:43:38,61.26,65.68,49.71,,
102,04/14/2023 18:48:38,60.32,69.39,50.29,,
103,04/14/2023 18:53:38,59.29,68.16,48.83,,
104,04/14/2023 18:58:38,58.48,70.64,49.01,,
105,04/14/2023 19:03:38,57.83,72.80,49.18,,
106,04/14/2023 19:08:38,57.01,73.74,48.74,,
107,04/14/2023 19:13:38,56.17,75.45,48.54,,
108,04/14/2023 19:18:38,55.24,77.83,48.47,,
109,04/14/2023 19:23:38,54.74,80.45,48.86,,
110,04/14/2023 19:28:38,54.45,80.78,48.69,,
111,04/14/2023 19:33:38,53.94,81.88,48.56,,
112,04/14/2023 19:38:38,53.60,82.25,48.34,,
113,04/14/2023 19:43:38,53.15,82.72,48.06,,
114,04/14/2023 19:48:38,52.30,84.85,47.90,,
115,04/14/2023 19:53:38,51.55,87.28,47.92,,
116,04/14/2023 19:58:38,51.40,87.68,47.89,,
117,04/14/2023 20:03:38,50.88,88.69,47.68,,
118,04/14/2023 20:08:38,50.62,89.30,47.61,,
119,04/14/2023 20:13:38,50.64,89.83,47.79,,
120,04/14/2023 20:18:38,50.70,88.83,47.55,,
121,04/14/2023 20:23:38,50.53,89.78,47.66,,
122,04/14/2023 20:28:38,50.62,89.69,47.73,,
123,04/14/2023 20:33:38,50.53,89.14,47.47,,
124,04/14/2023 20:38:38,50.53,90.42,47.85,,
125,04/14/2023 20:43:38,50.45,89.54,47.51,,
126,04/14/2023 20:48:38,50.51,90.18,47.76,,
127,04/14/2023 20:53:38,50.89,89.22,47.85,,
128,04/14/2023 20:58:38,50.74,89.61,47.82,,
129,04/14/2023 21:03:38,50.43,90.95,47.91,,
130,04/14/2023 21:08:38,50.53,89.69,47.63,,
131,04/14/2023 21:13:38,50.35,90.30,47.64,,
132,04/14/2023 21:18:38,49.91,91.41,47.53,,
133,04/14/2023 21:23:38,49.35,92.38,47.25,,
134,04/14/2023 21:28:38,48.93,93.44,47.13,,
135,04/14/2023 21:33:38,48.60,93.24,46.75,,
136,04/14/2023 21:38:38,49.04,93.18,47.17,,
137,04/14/2023 21:43:38,48.35,92.84,46.39,,
138,04/14/2023 21:48:38,47.79,94.54,46.31,,
139,04/14/2023 21:53:38,47.23,94.65,45.79,,
140,04/14/2023 21:58:38,46.82,95.31,45.57,,
141,04/14/2023 22:03:38,46.55,96.28,45.56,,
142,04/14/2023 22:08:38,46.07,96.33,45.10,,
143,04/14/2023 22:13:38,45.84,96.82,45.00,,
144,04/14/2023 22:18:38,45.53,97.41,44.85,,
145,04/14/2023 22:23:38,45.16,97.57,44.53,,
146,04/14/2023 22:28:38,45.14,98.88,44.86,,
147,04/14/2023 22:33:38,44.83,98.74,44.51,,
148,04/14/2023 22:38:38,44.56,98.34,44.14,,
149,04/14/2023 22:43:38,44.58,99.22,44.39,,
150,04/14/2023 22:48:38,44.47,99.55,44.36,,
151,04/14/2023 22:53:38,44.60,99.84,44.57,,
152,04/14/2023 22:58:38,44.27,99.80,44.23,,
153,04/14/2023 23:03:38,44.16,99.92,44.15,,
154,04/14/2023 23:08:38,43.91,99.87,43.88,,
155,04/14/2023 23:13:38,43.96,100.00,43.97,,
156,04/14/2023 23:18:38,43.71,99.95,43.71,,
157,04/14/2023 23:23:38,44.06,100.00,44.07,,
158,04/14/2023 23:28:38,44.25,100.00,44.26,,
159,04/14/2023 23:33:38,43.91,100.00,43.92,,
160,04/14/2023 23:38:38,43.71,100.00,43.72,,
161,04/14/2023 23:43:38,43.71,100.00,43.72,,
162,04/14/2023 23:48:38,43.46,100.00,43.47,,
163,04/14/2023 23:53:38,43.67,100.00,43.68,,
164,04/14/2023 23:58:38,43.62,100.00,43.63,,
165,04/15/2023 00:03:38,43.29,100.00,43.30,,
166,04/15/2023 00:08:38,43.00,100.00,43.01,,
167,04/15/2023 00:13:38,43.35,100.00,43.35,,
168,04/15/2023 00:18:38,44.18,100.00,44.19,,
169,04/15/2023 00:23:38,43.89,100.00,43.90,,
170,04/15/2023 00:28:38,43.40,100.00,43.41,,
171,04/15/2023 00:33:38,43.69,100.00,43.70,,
172,04/15/2023 00:38:38,43.58,100.00,43.59,,
173,04/15/2023 00:43:38,44.00,100.00,44.01,,
174,04/15/2023 00:48:38,44.79,100.00,44.81,,
175,04/15/2023 00:53:38,44.06,100.00,44.07,,
176,04/15/2023 00:58:38,43.91,100.00,43.92,,
177,04/15/2023 01:03:38,43.98,100.00,43.99,,
178,04/15/2023 01:08:38,43.73,100.00,43.74,,
179,04/15/2023 01:13:38,43.52,100.00,43.53,,
180,04/15/2023 01:18:38,43.87,100.00,43.88,,
181,04/15/2023 01:23:38,44.12,100.00,44.13,,
182,04/15/2023 01:28:38,44.06,100.00,44.07,,
183,04/15/2023 01:33:38,43.54,100.00,43.55,,
184,04/15/2023 01:38:38,43.31,100.00,43.32,,
185,04/15/2023 01:43:38,43.44,100.00,43.45,,
186,04/15/2023 01:48:38,43.11,100.00,43.12,,
187,04/15/2023 01:53:38,43.27,100.00,43.28,,
188,04/15/2023 01:58:38,43.15,100.00,43.16,,
189,04/15/2023 02:03:38,44.10,100.00,44.11,,
190,04/15/2023 02:08:38,43.66,100.00,43.66,,
191,04/15/2023 02:13:38,42.84,100.00,42.85,,
192,04/15/2023 02:18:38,42.67,100.00,42.68,,
193,04/15/2023 02:23:38,43.75,100.00,43.76,,
194,04/15/2023 02:28:38,43.71,100.00,43.72,,
195,04/15/2023 02:33:38,43.35,100.00,43.35,,
196,04/15/2023 02:38:38,43.93,100.00,43.93,,
197,04/15/2023 02:43:38,43.19,100.00,43.20,,
198,04/15/2023 02:48:38,43.40,100.00,43.41,,
199,04/15/2023 02:53:38,42.98,100.00,42.99,,
200,04/15/2023 02:58:38,43.81,100.00,43.82,,
201,04/15/2023 03:03:38,43.98,100.00,43.99,,
202,04/15/2023 03:08:38,43.42,100.00,43.43,,
203,04/15/2023 03:13:38,43.54,100.00,43.55,,
204,04/15/2023 03:18:38,43.29,100.00,43.30,,
205,04/15/2023 03:23:38,43.87,100.00,43.88,,
206,04/15/2023 03:28:38,43.79,100.00,43.80,,
207,04/15/2023 03:33:38,44.89,100.00,44.90,,
208,04/15/2023 03:38:38,44.33,100.00,44.34,,
209,04/15/2023 03:43:38,43.73,100.00,43.74,,
210,04/15/2023 03:48:38,43.10,100.00,43.10,,
211,04/15/2023 03:53:38,43.19,100.00,43.20,,
