#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Host Connected,End of File
1,04/14/2023 16:06:40,71.78,40.58,46.58,,
2,04/14/2023 16:11:40,69.70,43.14,46.33,,
3,04/14/2023 16:16:40,67.38,50.05,48.16,,
4,04/14/2023 16:21:40,67.30,43.88,44.60,,
5,04/14/2023 16:26:40,65.88,49.01,46.22,,
6,04/14/2023 16:31:40,65.59,50.72,46.86,,
7,04/14/2023 16:36:40,65.08,49.41,45.71,,
8,04/14/2023 16:41:40,65.37,49.88,46.22,,
9,04/14/2023 16:46:40,65.45,51.65,47.22,,
10,04/14/2023 16:51:40,67.88,45.90,46.32,,
11,04/14/2023 16:56:40,66.96,45.00,44.95,,
12,04/14/2023 17:01:40,67.77,47.92,47.36,,
13,04/14/2023 17:06:40,65.99,45.44,44.33,,
14,04/14/2023 17:11:40,66.40,47.83,46.05,,
15,04/14/2023 17:16:40,67.15,48.12,46.90,,
16,04/14/2023 17:21:40,66.36,50.28,47.34,,
17,04/14/2023 17:26:40,65.26,48.28,45.26,,
18,04/14/2023 17:31:40,63.25,52.55,45.64,,
19,04/14/2023 17:36:40,65.45,50.11,46.42,,
20,04/14/2023 17:41:40,65.37,50.84,46.73,,
21,04/14/2023 17:46:40,64.62,51.77,46.51,,
22,04/14/2023 17:51:40,63.87,54.23,47.05,,
23,04/14/2023 17:56:40,63.39,55.55,47.23,,
24,04/14/2023 18:01:40,63.50,56.09,47.60,,
25,04/14/2023 18:06:40,63.00,57.07,47.59,,
26,04/14/2023 18:11:40,62.81,57.43,47.58,,
27,04/14/2023 18:16:40,62.65,58.44,47.90,,
28,04/14/2023 18:21:40,62.23,57.47,47.05,,
29,04/14/2023 18:26:40,61.36,59.68,47.24,,
30,04/14/2023 18:31:40,61.20,60.23,47.34,,
31,04/14/2023 18:36:40,60.55,62.37,47.65,,
32,04/14/2023 18:41:40,59.76,64.18,47.66,,
33,04/14/2023 18:46:40,59.31,65.07,47.61,,
34,04/14/2023 18:51:40,58.60,67.83,48.03,,
35,04/14/2023 18:56:40,58.06,68.17,47.65,,
36,04/14/2023 19:01:40,57.52,69.23,47.54,,
37,04/14/2023 19:06:40,56.96,70.63,47.54,,
38,04/14/2023 19:11:40,56.22,72.38,47.48,,
39,04/14/2023 19:16:40,55.61,73.44,47.28,,
40,04/14/2023 19:21:40,54.95,75.53,47.39,,
41,04/14/2023 19:26:40,54.41,77.87,47.67,,
42,04/14/2023 19:31:40,54.23,78.50,47.72,,
43,04/14/2023 19:36:40,54.10,78.26,47.51,,
44,04/14/2023 19:41:40,53.96,77.93,47.26,,
45,04/14/2023 19:46:40,53.35,79.67,47.25,,
46,04/14/2023 19:51:40,52.90,81.01,47.26,,
47,04/14/2023 19:56:40,52.25,82.57,47.12,,
48,04/14/2023 20:01:40,52.30,82.33,47.10,,
49,04/14/2023 20:06:40,52.25,82.34,47.05,,
50,04/14/2023 20:11:40,52.36,82.01,47.06,,
51,04/14/2023 20:16:40,52.09,82.04,46.80,,
52,04/14/2023 20:21:40,51.88,82.41,46.71,,
53,04/14/2023 20:26:40,51.59,83.26,46.70,,
54,04/14/2023 20:31:40,51.67,83.37,46.81,,
55,04/14/2023 20:36:40,51.51,83.85,46.81,,
56,04/14/2023 20:41:40,51.40,84.02,46.75,,
57,04/14/2023 20:46:40,51.69,83.54,46.88,,
58,04/14/2023 20:51:40,51.67,83.96,47.00,,
59,04/14/2023 20:56:40,52.23,82.60,47.12,,
60,04/14/2023 21:01:40,52.11,82.43,46.95,,
61,04/14/2023 21:06:40,51.72,82.65,46.64,,
62,04/14/2023 21:11:40,51.92,82.44,46.76,,
63,04/14/2023 21:16:40,51.84,82.41,46.68,,
64,04/14/2023 21:21:40,51.32,83.56,46.53,,
65,04/14/2023 21:26:40,51.51,83.03,46.55,,
66,04/14/2023 21:31:40,51.03,83.97,46.38,,
67,04/14/2023 21:36:40,50.39,86.91,46.66,,
68,04/14/2023 21:41:40,49.25,88.88,46.13,,
69,04/14/2023 21:46:40,48.52,91.41,46.15,,
70,04/14/2023 21:51:40,48.23,92.82,46.27,,
71,04/14/2023 21:56:40,47.27,93.91,45.62,,
72,04/14/2023 22:01:40,47.19,95.48,45.98,,
73,04/14/2023 22:06:40,46.90,95.85,45.79,,
74,04/14/2023 22:11:40,46.30,96.47,45.36,,
75,04/14/2023 22:16:40,46.30,97.20,45.56,,
76,04/14/2023 22:21:40,46.24,96.43,45.30,,
77,04/14/2023 22:26:40,45.45,96.23,44.45,,
78,04/14/2023 22:31:40,45.20,97.29,44.49,,
79,04/14/2023 22:36:40,45.91,98.29,45.47,,
80,04/14/2023 22:41:40,45.99,97.92,45.45,,
81,04/14/2023 22:46:40,45.76,95.95,44.68,,
82,04/14/2023 22:51:40,45.24,97.33,44.54,,
83,04/14/2023 22:56:40,44.97,98.25,44.52,,
84,04/14/2023 23:01:40,44.66,98.08,44.16,,
85,04/14/2023 23:06:40,45.33,98.68,45.00,,
86,04/14/2023 23:11:40,45.05,98.89,44.76,,
87,04/14/2023 23:16:40,44.45,98.64,44.10,,
88,04/14/2023 23:21:40,43.94,98.53,43.57,,
89,04/14/2023 23:26:40,44.16,99.11,43.93,,
90,04/14/2023 23:31:40,44.62,99.21,44.42,,
91,04/14/2023 23:36:40,44.70,99.28,44.52,,
92,04/14/2023 23:41:40,44.79,99.26,44.61,,
93,04/14/2023 23:46:40,45.45,99.21,45.26,,
94,04/14/2023 23:51:40,45.03,98.81,44.72,,
95,04/14/2023 23:56:40,45.18,99.15,44.97,,
96,04/15/2023 00:01:40,45.33,99.30,45.16,,
97,04/15/2023 00:06:40,45.30,98.48,44.91,,
98,04/15/2023 00:11:40,45.05,99.19,44.84,,
99,04/15/2023 00:16:40,45.08,99.59,44.99,,
100,04/15/2023 00:21:40,45.14,99.31,44.97,,
101,04/15/2023 00:26:40,44.95,98.03,44.44,,
102,04/15/2023 00:31:40,44.85,99.15,44.64,,
103,04/15/2023 00:36:40,45.33,98.92,45.06,,
104,04/15/2023 00:41:40,45.74,98.07,45.24,,
105,04/15/2023 00:46:40,45.32,97.56,44.68,,
106,04/15/2023 00:51:40,45.05,98.12,44.56,,
107,04/15/2023 00:56:40,44.97,97.95,44.43,,
108,04/15/2023 01:01:40,45.10,97.90,44.56,,
109,04/15/2023 01:06:40,45.10,97.38,44.42,,
110,04/15/2023 01:11:40,44.78,97.84,44.21,,
111,04/15/2023 01:16:40,44.74,97.98,44.21,,
112,04/15/2023 01:21:40,44.74,99.30,44.56,,
113,04/15/2023 01:26:40,44.89,99.01,44.64,,
