#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Host Connected,End of File
1,03/19/2023 17:21:59,62.67,65.32,50.91,,
2,03/19/2023 17:26:59,60.39,69.97,50.59,,
3,03/19/2023 17:31:59,59.16,70.29,49.52,,
4,03/19/2023 17:36:59,59.00,71.79,49.94,,
5,03/19/2023 17:41:59,58.52,72.97,49.91,,
6,03/19/2023 17:46:59,57.79,76.07,50.33,,
7,03/19/2023 17:51:59,57.67,77.28,50.64,,
8,03/19/2023 17:56:59,57.36,76.64,50.11,,
9,03/19/2023 18:01:59,57.03,76.86,49.88,,
10,03/19/2023 18:06:59,56.84,77.26,49.83,,
11,03/19/2023 18:11:59,56.80,77.87,50.00,,
12,03/19/2023 18:16:59,56.69,77.62,49.80,,
13,03/19/2023 18:21:59,56.78,78.58,50.23,,
14,03/19/2023 18:26:59,56.63,78.24,49.96,,
15,03/19/2023 18:31:59,56.45,79.21,50.12,,
16,03/19/2023 18:36:59,56.20,79.11,49.84,,
17,03/19/2023 18:41:59,56.18,80.24,50.21,,
18,03/19/2023 18:46:59,56.15,80.74,50.34,,
19,03/19/2023 18:51:59,56.03,81.22,50.38,,
20,03/19/2023 18:56:59,55.97,81.18,50.31,,
21,03/19/2023 19:01:59,55.99,81.36,50.39,,
22,03/19/2023 19:06:59,56.01,81.15,50.34,,
23,03/19/2023 19:11:59,55.93,81.50,50.38,,
24,03/19/2023 19:16:59,55.89,81.48,50.34,,
25,03/19/2023 19:21:59,55.88,82.08,50.52,,
26,03/19/2023 19:26:59,55.86,82.22,50.54,,
27,03/19/2023 19:31:59,55.86,82.09,50.50,,
28,03/19/2023 19:36:59,55.91,83.54,51.03,,
29,03/19/2023 19:41:59,55.86,84.38,51.24,,
30,03/19/2023 19:46:59,55.80,84.53,51.23,,
31,03/19/2023 19:51:59,55.80,84.24,51.14,,
32,03/19/2023 19:56:59,55.84,84.62,51.30,,
33,03/19/2023 20:01:59,55.82,85.28,51.49,,
34,03/19/2023 20:06:59,55.76,85.28,51.43,,
35,03/19/2023 20:11:59,55.78,85.80,51.62,,
36,03/19/2023 20:16:59,55.74,86.49,51.80,,
37,03/19/2023 20:21:59,55.76,87.08,52.00,,
38,03/19/2023 20:26:59,55.76,87.44,52.11,,
39,03/19/2023 20:31:59,55.68,87.65,52.10,,
40,03/19/2023 20:36:59,55.64,87.85,52.13,,
41,03/19/2023 20:41:59,55.66,88.37,52.31,,
42,03/19/2023 20:46:59,55.61,88.78,52.38,,
43,03/19/2023 20:51:59,55.61,89.48,52.59,,
44,03/19/2023 20:56:59,55.53,89.69,52.58,,
45,03/19/2023 21:01:59,55.49,90.30,52.72,,
46,03/19/2023 21:06:59,55.35,90.60,52.68,,
47,03/19/2023 21:11:59,55.37,90.90,52.79,,
48,03/19/2023 21:16:59,55.35,90.77,52.73,,
49,03/19/2023 21:21:59,55.24,91.43,52.81,,
50,03/19/2023 21:26:59,55.20,91.85,52.90,,
