#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Button Down,Host Connected,End of File
1,04/14/2023 11:31:33,73.06,42.84,49.17,,,
2,04/14/2023 11:31:50,,,,Logged,,
3,04/14/2023 11:36:33,69.16,46.82,48.01,,,
4,04/14/2023 11:41:33,65.82,52.69,48.09,,,
5,04/14/2023 11:46:33,64.97,54.35,48.13,,,
6,04/14/2023 11:51:33,68.33,50.00,49.00,,,
7,04/14/2023 11:56:33,68.17,51.33,49.56,,,
8,04/14/2023 12:01:33,67.92,51.88,49.62,,,
9,04/14/2023 12:06:33,67.25,51.90,49.00,,,
10,04/14/2023 12:11:33,67.54,49.82,48.18,,,
11,04/14/2023 12:16:33,66.45,53.70,49.19,,,
12,04/14/2023 12:21:33,65.59,53.54,48.30,,,
13,04/14/2023 12:26:33,65.95,53.13,48.44,,,
14,04/14/2023 12:31:33,65.47,54.39,48.62,,,
15,04/14/2023 12:36:33,65.06,54.31,48.20,,,
16,04/14/2023 12:41:33,64.50,55.76,48.38,,,
17,04/14/2023 12:46:33,64.39,54.89,47.85,,,
18,04/14/2023 12:51:33,64.91,54.73,48.26,,,
19,04/14/2023 12:56:33,64.22,55.96,48.21,,,
20,04/14/2023 13:01:33,64.25,56.55,48.52,,,
21,04/14/2023 13:06:33,63.81,60.12,49.75,,,
22,04/14/2023 13:11:33,63.69,56.35,47.90,,,
23,04/14/2023 13:16:33,63.40,58.51,48.64,,,
24,04/14/2023 13:21:33,63.06,58.89,48.48,,,
25,04/14/2023 13:26:33,63.60,57.69,48.44,,,
26,04/14/2023 13:31:33,62.98,57.23,47.65,,,
27,04/14/2023 13:36:33,62.15,57.56,47.02,,,
28,04/14/2023 13:41:33,62.52,58.83,47.95,,,
29,04/14/2023 13:46:33,62.67,58.06,47.74,,,
30,04/14/2023 13:51:33,62.83,56.96,47.38,,,
31,04/14/2023 13:56:33,62.63,57.35,47.38,,,
32,04/14/2023 14:01:33,62.96,57.78,47.88,,,
33,04/14/2023 14:06:33,63.42,56.63,47.78,,,
34,04/14/2023 14:11:33,64.00,56.06,48.06,,,
35,04/14/2023 14:16:33,63.58,55.69,47.48,,,
36,04/14/2023 14:21:33,64.50,54.61,47.83,,,
37,04/14/2023 14:26:33,68.04,50.48,48.99,,,
38,04/14/2023 14:31:33,69.54,49.29,49.74,,,
39,04/14/2023 14:36:33,71.59,44.79,49.03,,,
40,04/14/2023 14:41:33,69.14,45.46,47.21,,,
41,04/14/2023 14:46:33,67.69,50.74,48.81,,,
42,04/14/2023 14:51:33,68.44,49.12,48.64,,,
43,04/14/2023 14:56:33,67.63,48.71,47.67,,,
44,04/14/2023 15:01:33,70.03,45.75,48.18,,,
45,04/14/2023 15:06:33,68.79,46.11,47.27,,,
