#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Host Connected,End of File
1,04/14/2023 16:40:22,74.83,40.35,49.16,,
2,04/14/2023 16:45:22,72.81,39.23,46.60,,
3,04/14/2023 16:50:22,71.36,41.76,46.96,,
4,04/14/2023 16:55:22,71.82,41.09,46.95,,
5,04/14/2023 17:00:22,71.82,41.15,46.98,,
6,04/14/2023 17:05:22,71.47,41.40,46.84,,
7,04/14/2023 17:10:22,70.35,42.08,46.26,,
8,04/14/2023 17:15:22,70.93,42.66,47.14,,
9,04/14/2023 17:20:22,70.12,42.07,46.05,,
10,04/14/2023 17:25:22,68.19,44.05,45.51,,
11,04/14/2023 17:30:22,66.98,44.88,44.90,,
12,04/14/2023 17:35:22,66.78,47.84,46.41,,
13,04/14/2023 17:40:22,67.03,47.82,46.63,,
14,04/14/2023 17:45:22,66.78,49.15,47.13,,
15,04/14/2023 17:50:22,65.97,48.87,46.23,,
16,04/14/2023 17:55:22,65.49,50.09,46.44,,
17,04/14/2023 18:00:22,64.50,53.41,47.23,,
18,04/14/2023 18:05:22,64.22,53.84,47.18,,
19,04/14/2023 18:10:22,63.98,54.11,47.09,,
20,04/14/2023 18:15:22,63.96,54.24,47.14,,
21,04/14/2023 18:20:22,63.29,56.14,47.42,,
22,04/14/2023 18:25:22,62.13,56.66,46.59,,
23,04/14/2023 18:30:22,61.22,58.19,46.44,,
24,04/14/2023 18:35:22,60.18,61.84,47.08,,
25,04/14/2023 18:40:22,59.70,62.60,46.94,,
26,04/14/2023 18:45:22,59.12,64.18,47.06,,
27,04/14/2023 18:50:22,58.44,66.10,47.20,,
28,04/14/2023 18:55:22,57.63,67.42,46.95,,
29,04/14/2023 19:00:22,56.98,69.36,47.07,,
30,04/14/2023 19:05:22,56.36,69.99,46.72,,
31,04/14/2023 19:10:22,55.84,71.32,46.72,,
32,04/14/2023 19:15:22,55.24,72.95,46.74,,
33,04/14/2023 19:20:22,54.70,74.87,46.91,,
34,04/14/2023 19:25:22,53.93,77.82,47.19,,
35,04/14/2023 19:30:22,53.58,79.09,47.28,,
36,04/14/2023 19:35:22,53.35,79.36,47.15,,
37,04/14/2023 19:40:22,53.02,79.46,46.86,,
38,04/14/2023 19:45:22,52.67,81.07,47.05,,
39,04/14/2023 19:50:22,51.98,82.64,46.88,,
40,04/14/2023 19:55:22,51.47,84.13,46.86,,
41,04/14/2023 20:00:22,50.84,85.59,46.69,,
42,04/14/2023 20:05:22,50.61,86.23,46.67,,
43,04/14/2023 20:10:22,50.35,87.43,46.78,,
44,04/14/2023 20:15:22,50.24,88.76,47.07,,
45,04/14/2023 20:20:22,50.47,87.79,47.01,,
46,04/14/2023 20:25:22,50.32,88.25,46.99,,
47,04/14/2023 20:30:22,50.22,88.52,46.98,,
48,04/14/2023 20:35:22,50.78,87.58,47.25,,
49,04/14/2023 20:40:22,50.76,87.27,47.14,,
50,04/14/2023 20:45:22,50.99,87.00,47.28,,
51,04/14/2023 20:50:22,51.22,86.78,47.44,,
52,04/14/2023 20:55:22,51.01,86.28,47.08,,
53,04/14/2023 21:00:22,50.68,86.94,46.96,,
54,04/14/2023 21:05:22,49.81,89.11,46.75,,
55,04/14/2023 21:10:22,49.43,90.02,46.64,,
56,04/14/2023 21:15:22,49.37,90.73,46.79,,
57,04/14/2023 21:20:22,48.91,91.18,46.47,,
58,04/14/2023 21:25:22,48.42,92.03,46.23,,
59,04/14/2023 21:30:22,48.17,93.41,46.38,,
60,04/14/2023 21:35:22,48.48,94.23,46.92,,
61,04/14/2023 21:40:22,48.37,93.46,46.58,,
62,04/14/2023 21:45:22,48.17,94.18,46.60,,
63,04/14/2023 21:50:22,47.65,93.61,45.92,,
64,04/14/2023 21:55:22,46.84,93.47,45.07,,
65,04/14/2023 22:00:22,46.38,96.20,45.37,,
66,04/14/2023 22:05:22,46.17,96.02,45.11,,
67,04/14/2023 22:10:22,45.89,96.66,45.01,,
68,04/14/2023 22:15:22,45.53,97.07,44.76,,
69,04/14/2023 22:20:22,45.24,97.57,44.60,,
70,04/14/2023 22:25:22,44.93,97.92,44.39,,
71,04/14/2023 22:30:22,44.81,97.54,44.17,,
72,04/14/2023 22:35:22,44.93,98.98,44.67,,
73,04/14/2023 22:40:22,45.28,99.35,45.12,,
74,04/14/2023 22:45:22,44.93,99.21,44.73,,
75,04/14/2023 22:50:22,44.76,98.83,44.46,,
76,04/14/2023 22:55:22,44.43,98.57,44.06,,
77,04/14/2023 23:00:22,44.50,98.58,44.14,,
78,04/14/2023 23:05:22,44.27,98.59,43.91,,
79,04/14/2023 23:10:22,44.16,99.36,44.00,,
80,04/14/2023 23:15:22,43.91,99.35,43.75,,
81,04/14/2023 23:20:22,44.06,99.71,44.00,,
82,04/14/2023 23:25:22,44.43,99.87,44.41,,
83,04/14/2023 23:30:22,43.93,99.51,43.81,,
84,04/14/2023 23:35:22,44.00,100.00,44.01,,
85,04/14/2023 23:40:22,43.66,99.93,43.65,,
86,04/14/2023 23:45:22,43.93,100.00,43.93,,
87,04/14/2023 23:50:22,43.96,100.00,43.97,,
