#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Host Connected,End of File
1,04/14/2023 11:05:22,66.88,56.58,50.99,,
2,04/14/2023 11:10:22,64.52,60.08,50.40,,
3,04/14/2023 11:15:22,63.62,61.47,50.16,,
4,04/14/2023 11:20:22,63.40,62.92,50.59,,
5,04/14/2023 11:25:22,63.06,64.09,50.76,,
6,04/14/2023 11:30:22,63.75,61.79,50.43,,
7,04/14/2023 11:35:22,64.22,63.80,51.73,,
8,04/14/2023 11:40:22,63.96,62.57,50.97,,
9,04/14/2023 11:45:22,63.69,63.86,51.26,,
10,04/14/2023 11:50:22,64.64,62.78,51.70,,
11,04/14/2023 11:55:22,64.10,61.76,50.74,,
12,04/14/2023 12:00:22,67.13,61.52,53.50,,
13,04/14/2023 12:05:22,66.61,59.03,51.88,,
14,04/14/2023 12:10:22,68.13,57.92,52.80,,
15,04/14/2023 12:15:22,66.96,57.02,51.27,,
16,04/14/2023 12:20:22,65.37,60.08,51.20,,
17,04/14/2023 12:25:22,66.22,58.90,51.46,,
18,04/14/2023 12:30:22,65.82,58.86,51.06,,
19,04/14/2023 12:35:22,65.01,61.81,51.62,,
20,04/14/2023 12:40:22,64.16,59.58,49.83,,
21,04/14/2023 12:45:22,63.73,61.52,50.29,,
22,04/14/2023 12:50:22,64.08,61.04,50.41,,
23,04/14/2023 12:55:22,63.39,61.52,49.97,,
24,04/14/2023 13:00:22,63.21,63.73,50.75,,
25,04/14/2023 13:05:22,62.42,64.48,50.32,,
26,04/14/2023 13:10:22,62.75,65.23,50.94,,
27,04/14/2023 13:15:22,62.83,64.68,50.78,,
28,04/14/2023 13:20:22,62.44,63.88,50.08,,
29,04/14/2023 13:25:22,62.44,64.62,50.39,,
30,04/14/2023 13:30:22,62.59,63.91,50.24,,
31,04/14/2023 13:35:22,62.09,64.49,50.01,,
32,04/14/2023 13:40:22,62.11,64.89,50.19,,
33,04/14/2023 13:45:22,61.82,65.90,50.33,,
34,04/14/2023 13:50:22,62.01,65.05,50.17,,
35,04/14/2023 13:55:22,62.07,64.94,50.18,,
36,04/14/2023 14:00:22,62.25,64.71,50.25,,
37,04/14/2023 14:05:22,62.98,63.93,50.62,,
38,04/14/2023 14:10:22,63.64,63.79,51.18,,
39,04/14/2023 14:15:22,63.81,62.18,50.65,,
40,04/14/2023 14:20:22,62.79,63.81,50.38,,
41,04/14/2023 14:25:22,64.85,61.65,51.41,,
42,04/14/2023 14:30:22,66.03,59.10,51.37,,
43,04/14/2023 14:35:22,67.65,56.62,51.73,,
44,04/14/2023 14:40:22,66.42,56.48,50.51,,
45,04/14/2023 14:45:22,66.22,58.26,51.17,,
46,04/14/2023 14:50:22,66.34,55.26,49.85,,
47,04/14/2023 14:55:22,65.61,57.94,50.44,,
48,04/14/2023 15:00:22,66.18,56.11,50.11,,
49,04/14/2023 15:05:22,65.43,55.47,49.10,,
50,04/14/2023 15:10:22,66.18,55.33,49.74,,
51,04/14/2023 15:15:22,65.97,55.60,49.67,,
52,04/14/2023 15:20:22,66.11,56.55,50.25,,
53,04/14/2023 15:25:22,66.90,55.28,50.38,,
54,04/14/2023 15:30:22,66.18,55.66,49.90,,
55,04/14/2023 15:35:22,66.47,52.60,48.65,,
56,04/14/2023 15:40:22,65.89,55.21,49.41,,
57,04/14/2023 15:45:22,66.96,53.11,49.35,,
58,04/14/2023 15:50:22,65.57,55.93,49.45,,
59,04/14/2023 15:55:22,65.16,56.07,49.14,,
60,04/14/2023 16:00:22,64.79,57.52,49.48,,
61,04/14/2023 16:05:22,65.01,58.66,50.21,,
62,04/14/2023 16:10:22,65.05,54.93,48.48,,
63,04/14/2023 16:15:22,64.72,58.02,49.64,,
64,04/14/2023 16:20:22,65.62,55.62,49.36,,
65,04/14/2023 16:25:22,65.01,55.53,48.74,,
66,04/14/2023 16:30:22,64.22,56.93,48.66,,
67,04/14/2023 16:35:22,63.95,56.60,48.25,,
68,04/14/2023 16:40:22,63.62,56.83,48.06,,
69,04/14/2023 16:45:22,63.67,59.17,49.19,,
70,04/14/2023 16:50:22,64.04,54.87,47.52,,
71,04/14/2023 16:55:22,65.39,56.33,49.48,,
72,04/14/2023 17:00:22,65.64,54.79,48.97,,
73,04/14/2023 17:05:22,65.43,52.15,47.46,,
74,04/14/2023 17:10:22,64.93,53.93,47.89,,
75,04/14/2023 17:15:22,64.74,54.17,47.82,,
76,04/14/2023 17:20:22,65.01,54.21,48.09,,
77,04/14/2023 17:25:22,64.23,54.01,47.28,,
78,04/14/2023 17:30:22,63.83,56.00,47.87,,
79,04/14/2023 17:35:22,62.81,59.36,48.46,,
80,04/14/2023 17:40:22,62.69,60.41,48.82,,
81,04/14/2023 17:45:22,62.42,61.07,48.86,,
82,04/14/2023 17:50:22,62.07,60.65,48.34,,
83,04/14/2023 17:55:22,62.01,62.90,49.27,,
84,04/14/2023 18:00:22,61.59,65.48,49.94,,
85,04/14/2023 18:05:22,60.84,64.91,48.99,,
86,04/14/2023 18:10:22,60.55,65.58,48.99,,
87,04/14/2023 18:15:22,60.28,66.41,49.07,,
88,04/14/2023 18:20:22,60.16,67.41,49.36,,
89,04/14/2023 18:25:22,59.85,67.43,49.07,,
90,04/14/2023 18:30:22,59.41,67.56,48.70,,
91,04/14/2023 18:35:22,59.35,70.15,49.66,,
92,04/14/2023 18:40:22,58.67,69.88,48.90,,
93,04/14/2023 18:45:22,58.27,71.98,49.30,,
94,04/14/2023 18:50:22,57.86,72.38,49.06,,
95,04/14/2023 18:55:22,57.56,73.81,49.29,,
96,04/14/2023 19:00:22,57.19,74.16,49.06,,
97,04/14/2023 19:05:22,56.84,74.94,49.01,,
98,04/14/2023 19:10:22,56.44,75.41,48.78,,
99,04/14/2023 19:15:22,55.97,76.17,48.60,,
100,04/14/2023 19:20:22,55.61,78.00,48.88,,
101,04/14/2023 19:25:22,55.35,78.91,48.95,,
102,04/14/2023 19:30:22,55.22,79.53,49.03,,
103,04/14/2023 19:35:22,54.89,79.59,48.73,,
104,04/14/2023 19:40:22,54.66,79.28,48.40,,
105,04/14/2023 19:45:22,54.35,79.27,48.09,,
106,04/14/2023 19:50:22,53.87,81.00,48.20,,
107,04/14/2023 19:55:22,53.71,81.10,48.08,,
108,04/14/2023 20:00:22,53.48,81.48,47.98,,
109,04/14/2023 20:05:22,53.52,82.12,48.22,,
110,04/14/2023 20:10:22,53.62,81.59,48.15,,
111,04/14/2023 20:15:22,53.54,81.65,48.09,,
112,04/14/2023 20:20:22,53.42,81.33,47.87,,
113,04/14/2023 20:25:22,53.40,81.72,47.98,,
114,04/14/2023 20:30:22,53.35,81.45,47.84,,
115,04/14/2023 20:35:22,53.27,81.94,47.92,,
116,04/14/2023 20:40:22,53.15,81.89,47.79,,
117,04/14/2023 20:45:22,53.13,82.26,47.89,,
118,04/14/2023 20:50:22,53.37,81.63,47.92,,
119,04/14/2023 20:55:22,53.19,81.89,47.83,,
120,04/14/2023 21:00:22,53.29,81.14,47.68,,
121,04/14/2023 21:05:22,53.44,80.94,47.76,,
122,04/14/2023 21:10:22,53.46,80.94,47.78,,
123,04/14/2023 21:15:22,53.35,81.12,47.73,,
124,04/14/2023 21:20:22,53.27,80.84,47.56,,
125,04/14/2023 21:25:22,53.08,81.46,47.58,,
126,04/14/2023 21:30:22,53.27,81.00,47.61,,
127,04/14/2023 21:35:22,53.10,81.23,47.52,,
128,04/14/2023 21:40:22,52.32,83.31,47.44,,
129,04/14/2023 21:45:22,51.40,85.16,47.11,,
130,04/14/2023 21:50:22,50.39,86.97,46.68,,
131,04/14/2023 21:55:22,49.79,87.41,46.23,,
132,04/14/2023 22:00:22,49.22,87.57,45.70,,
133,04/14/2023 22:05:22,48.67,89.08,45.62,,
134,04/14/2023 22:10:22,48.19,89.25,45.19,,
135,04/14/2023 22:15:22,47.83,91.50,45.49,,
136,04/14/2023 22:20:22,47.52,92.07,45.35,,
137,04/14/2023 22:25:22,47.25,92.76,45.27,,
138,04/14/2023 22:30:22,46.90,92.40,44.83,,
139,04/14/2023 22:35:22,46.72,93.20,44.88,,
140,04/14/2023 22:40:22,46.55,93.18,44.70,,
141,04/14/2023 22:45:22,46.34,93.89,44.69,,
142,04/14/2023 22:50:22,46.15,94.68,44.72,,
