#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Button Down,Host Connected,End of File
1,04/14/2023 14:33:01,75.59,42.33,51.13,,,
2,04/14/2023 14:38:01,71.69,44.11,48.71,,,
3,04/14/2023 14:43:01,70.24,46.82,48.99,,,
4,04/14/2023 14:48:01,68.44,48.92,48.53,,,
5,04/14/2023 14:53:01,69.23,50.54,50.13,,,
6,04/14/2023 14:58:01,69.93,47.02,48.83,,,
7,04/14/2023 15:03:01,69.99,45.98,48.28,,,
8,04/14/2023 15:08:01,69.14,46.31,47.70,,,
9,04/14/2023 15:13:01,69.33,44.54,46.84,,,
10,04/14/2023 15:18:01,68.00,48.02,47.62,,,
11,04/14/2023 15:23:01,68.77,49.68,49.24,,,
12,04/14/2023 15:28:01,70.47,47.59,49.64,,,
13,04/14/2023 15:33:01,69.97,44.69,47.50,,,
14,04/14/2023 15:38:01,69.31,46.90,48.19,,,
15,04/14/2023 15:43:01,68.06,46.28,46.70,,,
16,04/14/2023 15:48:01,68.64,46.18,47.17,,,
17,04/14/2023 15:53:01,68.44,46.41,47.12,,,
18,04/14/2023 15:58:01,68.25,48.25,47.98,,,
19,04/14/2023 16:03:01,67.94,50.06,48.68,,,
20,04/14/2023 16:08:01,67.56,46.14,46.16,,,
21,04/14/2023 16:13:01,67.11,50.37,48.08,,,
22,04/14/2023 16:18:01,66.51,53.64,49.21,,,
23,04/14/2023 16:23:01,65.49,47.83,45.22,,,
24,04/14/2023 16:28:01,65.34,48.67,45.54,,,
25,04/14/2023 16:33:01,64.99,51.49,46.71,,,
26,04/14/2023 16:38:01,65.06,52.56,47.33,,,
27,04/14/2023 16:43:01,64.87,51.92,46.82,,,
28,04/14/2023 16:48:01,65.05,49.80,45.88,,,
29,04/14/2023 16:53:01,65.41,50.65,46.66,,,
30,04/14/2023 16:58:01,65.59,49.65,46.29,,,
31,04/14/2023 17:03:01,66.49,47.43,45.92,,,
32,04/14/2023 17:08:01,66.71,49.13,47.05,,,
33,04/14/2023 17:13:01,66.92,46.09,45.55,,,
34,04/14/2023 17:18:01,66.67,48.08,46.43,,,
35,04/14/2023 17:23:01,65.53,47.54,45.10,,,
36,04/14/2023 17:28:01,64.31,49.65,45.12,,,
37,04/14/2023 17:33:01,64.25,53.40,46.99,,,
38,04/14/2023 17:38:01,63.13,54.45,46.47,,,
39,04/14/2023 17:43:01,62.94,55.74,46.91,,,
40,04/14/2023 17:48:01,62.75,57.04,47.34,,,
41,04/14/2023 17:53:01,62.59,57.41,47.37,,,
42,04/14/2023 17:58:01,62.38,58.34,47.60,,,
43,04/14/2023 18:03:01,62.09,57.87,47.11,,,
44,04/14/2023 18:08:01,61.65,59.90,47.61,,,
45,04/14/2023 18:13:01,61.26,60.92,47.70,,,
46,04/14/2023 18:18:01,61.17,61.38,47.81,,,
47,04/14/2023 18:23:01,60.51,60.83,46.95,,,
48,04/14/2023 18:28:01,60.01,62.12,47.03,,,
49,04/14/2023 18:33:01,60.01,64.35,47.97,,,
50,04/14/2023 18:38:01,59.54,64.53,47.61,,,
51,04/14/2023 18:43:01,59.35,66.07,48.05,,,
52,04/14/2023 18:48:01,58.98,66.78,47.98,,,
53,04/14/2023 18:53:01,58.69,68.23,48.28,,,
54,04/14/2023 18:58:01,58.31,69.38,48.36,,,
55,04/14/2023 19:03:01,57.86,69.22,47.87,,,
56,04/14/2023 19:08:01,57.40,69.57,47.56,,,
57,04/14/2023 19:13:01,56.88,70.75,47.51,,,
58,04/14/2023 19:18:01,56.40,72.68,47.76,,,
59,04/14/2023 19:23:01,55.93,73.69,47.68,,,
60,04/14/2023 19:28:01,55.47,74.74,47.61,,,
61,04/14/2023 19:33:01,55.10,75.54,47.54,,,
62,04/14/2023 19:38:01,54.79,75.62,47.27,,,
63,04/14/2023 19:43:01,54.49,76.23,47.18,,,
64,04/14/2023 19:48:01,54.06,76.68,46.93,,,
65,04/14/2023 19:53:01,53.69,78.18,47.09,,,
66,04/14/2023 19:58:01,53.60,77.50,46.76,,,
67,04/14/2023 20:03:01,53.37,78.29,46.80,,,
68,04/14/2023 20:08:01,53.21,79.20,46.96,,,
69,04/14/2023 20:13:01,53.00,80.50,47.19,,,
70,04/14/2023 20:18:01,53.02,80.65,47.25,,,
71,04/14/2023 20:23:01,52.81,80.66,47.05,,,
72,04/14/2023 20:28:01,52.69,81.44,47.19,,,
73,04/14/2023 20:33:01,52.48,81.90,47.13,,,
74,04/14/2023 20:38:01,52.28,82.03,46.99,,,
75,04/14/2023 20:43:01,52.11,83.36,47.24,,,
76,04/14/2023 20:48:01,52.13,82.50,46.99,,,
77,04/14/2023 20:53:01,51.98,83.20,47.06,,,
78,04/14/2023 20:58:01,51.86,84.26,47.28,,,
79,04/14/2023 21:03:01,51.72,83.45,46.90,,,
80,04/14/2023 21:08:01,51.65,84.59,47.18,,,
81,04/14/2023 21:13:01,51.44,84.14,46.83,,,
82,04/14/2023 21:18:01,51.36,84.86,46.98,,,
83,04/14/2023 21:23:01,51.11,84.81,46.72,,,
84,04/14/2023 21:28:01,50.97,85.28,46.73,,,
85,04/14/2023 21:33:01,50.89,85.69,46.78,,,
86,04/14/2023 21:38:01,50.88,86.27,46.94,,,
87,04/14/2023 21:43:01,50.70,86.62,46.88,,,
88,04/14/2023 21:48:01,50.39,86.40,46.51,,,
89,04/14/2023 21:53:01,50.20,85.99,46.19,,,
90,04/14/2023 21:58:01,49.95,86.46,46.09,,,
91,04/14/2023 22:03:01,49.81,87.47,46.26,,,
92,04/14/2023 22:08:01,49.43,86.64,45.63,,,
93,04/14/2023 22:13:01,49.14,86.96,45.44,,,
94,04/14/2023 22:18:01,48.93,87.55,45.41,,,
95,04/14/2023 22:23:01,48.67,88.57,45.47,,,
96,04/14/2023 22:28:01,48.37,88.63,45.18,,,
97,04/14/2023 22:33:01,48.10,89.30,45.11,,,
98,04/14/2023 22:38:01,48.02,89.03,44.96,,,
99,04/14/2023 22:43:01,47.96,89.20,44.95,,,
100,04/14/2023 22:48:01,47.55,89.44,44.62,,,
101,04/14/2023 22:53:01,47.25,89.61,44.37,,,
102,04/14/2023 22:58:01,46.98,90.81,44.45,,,
103,04/14/2023 23:03:01,46.71,90.40,44.06,,,
104,04/14/2023 23:08:01,46.71,91.71,44.44,,,
105,04/14/2023 23:13:01,46.53,91.13,44.10,,,
106,04/14/2023 23:18:01,46.45,91.08,44.01,,,
107,04/14/2023 23:23:01,46.38,91.86,44.16,,,
108,04/14/2023 23:28:01,46.34,91.18,43.92,,,
109,04/14/2023 23:33:01,46.30,91.97,44.11,,,
110,04/14/2023 23:38:01,46.24,91.76,43.99,,,
111,04/14/2023 23:43:01,46.32,91.98,44.13,,,
112,04/14/2023 23:48:01,46.38,92.58,44.36,,,
113,04/14/2023 23:53:01,46.05,91.53,43.74,,,
