#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Host Connected,End of File
1,04/14/2023 14:58:35,75.66,38.47,48.62,,
2,04/14/2023 15:03:35,74.45,43.90,51.09,,
3,04/14/2023 15:08:35,73.25,43.13,49.53,,
4,04/14/2023 15:13:35,73.23,42.88,49.36,,
5,04/14/2023 15:18:35,72.50,43.59,49.13,,
6,04/14/2023 15:23:35,72.46,45.86,50.46,,
7,04/14/2023 15:28:35,73.29,44.68,50.51,,
8,04/14/2023 15:33:35,72.40,41.65,47.83,,
9,04/14/2023 15:38:35,72.77,42.15,48.47,,
10,04/14/2023 15:43:35,71.74,43.18,48.20,,
11,04/14/2023 15:48:35,71.73,45.72,49.71,,
12,04/14/2023 15:53:35,71.74,45.19,49.42,,
13,04/14/2023 15:58:35,70.49,48.47,50.15,,
14,04/14/2023 16:03:35,70.97,48.51,50.62,,
15,04/14/2023 16:08:35,71.28,45.11,48.94,,
16,04/14/2023 16:13:35,71.26,46.41,49.69,,
17,04/14/2023 16:18:35,70.35,46.55,48.94,,
18,04/14/2023 16:23:35,68.64,47.82,48.09,,
19,04/14/2023 16:28:35,67.75,47.93,47.35,,
20,04/14/2023 16:33:35,67.81,49.31,48.15,,
21,04/14/2023 16:38:35,67.48,49.51,47.96,,
22,04/14/2023 16:43:35,67.25,49.24,47.60,,
23,04/14/2023 16:48:35,67.75,49.02,47.94,,
24,04/14/2023 16:53:35,69.10,47.77,48.49,,
25,04/14/2023 16:58:35,69.66,46.59,48.34,,
26,04/14/2023 17:03:35,69.12,44.18,46.43,,
27,04/14/2023 17:08:35,68.15,46.93,47.15,,
28,04/14/2023 17:13:35,67.77,45.80,46.16,,
29,04/14/2023 17:18:35,67.57,47.44,46.91,,
30,04/14/2023 17:23:35,66.98,48.53,46.97,,
31,04/14/2023 17:28:35,66.05,48.91,46.32,,
32,04/14/2023 17:33:35,65.35,52.76,47.69,,
33,04/14/2023 17:38:35,64.12,55.16,47.73,,
34,04/14/2023 17:43:35,64.49,54.36,47.68,,
35,04/14/2023 17:48:35,64.45,55.15,48.03,,
36,04/14/2023 17:53:35,64.12,55.21,47.76,,
37,04/14/2023 17:58:35,63.42,58.57,48.68,,
38,04/14/2023 18:03:35,62.57,59.49,48.30,,
39,04/14/2023 18:08:35,62.52,59.44,48.22,,
40,04/14/2023 18:13:35,62.46,58.97,47.96,,
41,04/14/2023 18:18:35,62.05,60.05,48.06,,
42,04/14/2023 18:23:35,61.53,61.03,48.00,,
43,04/14/2023 18:28:35,61.03,61.76,47.84,,
44,04/14/2023 18:33:35,60.66,64.19,48.53,,
45,04/14/2023 18:38:35,60.01,65.04,48.26,,
46,04/14/2023 18:43:35,59.39,67.24,48.56,,
47,04/14/2023 18:48:35,58.75,67.95,48.23,,
48,04/14/2023 18:53:35,58.06,70.25,48.45,,
49,04/14/2023 18:58:35,57.23,72.01,48.32,,
50,04/14/2023 19:03:35,56.53,74.07,48.40,,
51,04/14/2023 19:08:35,55.80,74.71,47.92,,
52,04/14/2023 19:13:35,55.06,76.94,47.99,,
53,04/14/2023 19:18:35,54.33,79.20,48.05,,
54,04/14/2023 19:23:35,53.73,80.56,47.92,,
55,04/14/2023 19:28:35,53.23,82.29,48.00,,
56,04/14/2023 19:33:35,53.13,82.53,47.98,,
57,04/14/2023 19:38:35,52.73,82.93,47.71,,
58,04/14/2023 19:43:35,52.32,84.29,47.75,,
59,04/14/2023 19:48:35,51.44,86.46,47.55,,
60,04/14/2023 19:53:35,50.78,88.33,47.47,,
61,04/14/2023 19:58:35,50.72,88.41,47.44,,
62,04/14/2023 20:03:35,50.61,88.59,47.38,,
63,04/14/2023 20:08:35,50.51,89.69,47.61,,
64,04/14/2023 20:13:35,50.55,90.30,47.83,,
65,04/14/2023 20:18:35,50.93,88.53,47.69,,
66,04/14/2023 20:23:35,51.69,86.01,47.66,,
67,04/14/2023 20:28:35,51.80,85.43,47.59,,
68,04/14/2023 20:33:35,51.67,85.84,47.59,,
69,04/14/2023 20:38:35,51.67,85.36,47.44,,
70,04/14/2023 20:43:35,51.59,85.72,47.48,,
71,04/14/2023 20:48:35,51.82,85.32,47.58,,
72,04/14/2023 20:53:35,52.13,84.40,47.59,,
73,04/14/2023 20:58:35,52.09,84.20,47.49,,
74,04/14/2023 21:03:35,51.78,84.59,47.31,,
75,04/14/2023 21:08:35,51.51,85.04,47.19,,
76,04/14/2023 21:13:35,51.24,85.60,47.10,,
77,04/14/2023 21:18:35,50.99,86.00,46.97,,
78,04/14/2023 21:23:35,50.39,87.72,46.91,,
79,04/14/2023 21:28:35,49.81,88.63,46.61,,
80,04/14/2023 21:33:35,49.23,89.33,46.25,,
81,04/14/2023 21:38:35,49.23,90.90,46.71,,
